id,time,crime
Sakhalin,2012,2067
Samara,2012,1884
Saratov,2012,1146
Smolensk,2012,1737
Stavropol',2012,1276
Sverdlovsk,2012,1659
Tambov,2012,1087
Tatarstan,2012,1353
Tomsk,2012,2182
Tula,2012,901
Tuva,2012,1911
Tver',2012,1905
Tyumen',2012,2142
Udmurt,2012,1803
Ul'yanovsk,2012,1280
Vladimir,2012,1525
Volgograd,2012,1512
Vologda,2012,1990
Voronezh,2012,1188
Yamal-Nenets,2012,1692
Yaroslavl',2012,1359
Yevrey,2012,2184
Zabaykal'ye,2012,2851
Adygey,2013,888
Altay,2013,1880
Amur,2013,2077
Arkhangel'sk,2013,1792
Astrakhan',2013,1704
Bashkortostan,2013,1288
Belgorod,2013,968
Bryansk,2013,1527
Buryat,2013,2443
Chechnya,2013,272
Chelyabinsk,2013,1941
Chukot,2013,1567
Chuvash,2013,1140
City of St. Petersburg,2013,1085
Dagestan,2013,474
Gorno-Altay,2013,2143
Ingush,2013,391
Irkutsk,2013,2359
Ivanovo,2013,1387
Kabardin-Balkar,2013,1009
Kaliningrad,2013,1514
Kalmyk,2013,1220
Kaluga,2013,1565
Kamchatka,2013,1594
Karachay-Cherkess,2013,766
Karelia,2013,1744
Kemerovo,2013,2308
Khabarovsk,2013,2123
Khakass,2013,1975
Khanty-Mansiy,2013,1586
Kirov,2013,1656
Komi,2013,2249
Kostroma,2013,1164
Krasnodar,2013,1195
Krasnoyarsk,2013,2065
Kurgan,2013,2182
Kursk,2013,1180
Leningrad,2013,1146
Lipetsk,2013,1143
Magadan,2013,2305
Mariy-El,2013,1196
Mordovia,2013,1031
Moscow City,2013,1453
Moskva,2013,1511
Murmansk,2013,1716
Nenets,2013,1191
Nizhegorod,2013,1435
North Ossetia,2013,857
Novgorod,2013,1897
Novosibirsk,2013,1814
Omsk,2013,1472
Orel,2013,1580
Orenburg,2013,1348
Penza,2013,950
Perm',2013,2150
Primor'ye,2013,2700
Pskov,2013,1410
Rostov,2013,1219
Ryazan',2013,849
Sakha,2013,1133
Sakhalin,2013,2507
Samara,2013,1622
Saratov,2013,1132
Smolensk,2013,1519
Stavropol',2013,1212
Sverdlovsk,2013,1603
Tambov,2013,1093
Tatarstan,2013,1202
Tomsk,2013,1939
Tula,2013,823
Tuva,2013,1973
Tver',2013,1515
Tyumen',2013,2412
Udmurt,2013,1779
Ul'yanovsk,2013,1182
Vladimir,2013,1315
Volgograd,2013,1417
Vologda,2013,2045
Voronezh,2013,1306
Yamal-Nenets,2013,1692
Yaroslavl',2013,1210
Yevrey,2013,1864
Zabaykal'ye,2013,3203
Adygey,2014,903
Altay,2014,1847
Amur,2014,2129
Arkhangel'sk,2014,1666
Astrakhan',2014,1551
Bashkortostan,2014,1305
Belgorod,2014,925
Bryansk,2014,1382
Buryat,2014,2519
Chechnya,2014,258
Chelyabinsk,2014,1795
